product,brand,price,price_discount,link_img
Tarjeta de memoria Kingston SDCS2SP  Canvas Select Plus con adaptador SD 128GB,Kingston,299,299,https://http2.mlstatic.com/D_NQ_NP_616558-MLA43569313723_092020-O.jpg
Audífonos in-ear gamer inalámbricos Binden Dark Manta negro,Binden,699,629,https://http2.mlstatic.com/D_NQ_NP_896723-MLA48751584851_012022-O.jpg
Microsoft Xbox Series S 512GB Standard color  blanco,Microsoft,6299,6299,https://http2.mlstatic.com/D_NQ_NP_771415-MLA44492818319_012021-O.jpg
"Nintendo Switch 32GB Standard color  rojo neón, azul neón y negro",Nintendo,7099,7099,https://http2.mlstatic.com/D_NQ_NP_817201-MLA40692089527_022020-O.jpg
Audífonos gamer Onikuma K19 negro con luz  rgb LED,Onikuma,474,294,https://http2.mlstatic.com/D_NQ_NP_731024-MLA43701246671_102020-O.jpg
Sony PlayStation 5 825GB Standard color  blanco y negro,Sony,14000,13999,https://http2.mlstatic.com/D_NQ_NP_937072-MLA44492746273_012021-O.jpg
Mario Golf: Super Rush Standard Edition Nintendo Switch  Físico,Mario,728,728,https://http2.mlstatic.com/D_NQ_NP_752079-MLA46706248229_072021-O.jpg
Audífonos gamer Kotion Each G9000 black y blue,Kotion,300,300,https://http2.mlstatic.com/D_NQ_NP_722517-MLA40273756667_122019-O.jpg
Nintendo Switch OLED 64GB Standard color  blanco y negro,Nintendo,9999,9099,https://http2.mlstatic.com/D_NQ_NP_969606-MLA47920420604_102021-O.jpg
Microsoft Xbox Series X 1TB Standard color  negro,Microsoft,13899,13899,https://http2.mlstatic.com/D_NQ_NP_850214-MLA45046473101_032021-O.jpg
Control joystick inalámbrico Sony PlayStation Dualshock 4 jet black,Sony,1299,1299,https://http2.mlstatic.com/D_NQ_NP_898103-MLA32556737376_102019-O.jpg
Nintendo Switch Sports Standard Edition Nintendo Switch  Físico,Nintendo,1099,1011,https://http2.mlstatic.com/D_NQ_NP_830797-MLA49831073323_052022-O.jpg
Pokémon Brilliant Diamond Standard Edition Nintendo Switch  Físico,Pokémon,1089,899,https://http2.mlstatic.com/D_NQ_NP_662235-MLA48462653607_122021-O.jpg
Audífonos gamer Onikuma K20 negro con luz  rgb LED,Onikuma,302,302,https://http2.mlstatic.com/D_NQ_NP_906685-MLA45270103524_032021-O.jpg
Sony PlayStation 5 825GB Digital Edition color  blanco y negro,Sony,12864,12092,https://http2.mlstatic.com/D_NQ_NP_791396-MLA47058527002_082021-O.jpg
FIFA 22 Standard Edition Electronic Arts PS4  Físico,FIFA,723,723,https://http2.mlstatic.com/D_NQ_NP_647853-MLA49647073347_042022-O.jpg
Control joystick inalámbrico Nintendo Switch Pro Controller black,Nintendo,1305,1239,https://http2.mlstatic.com/D_NQ_NP_907854-MLA32323850093_092019-O.jpg
Red Dead Redemption 2 Standard Edition Rockstar Games PS4  Físico,Red Dead,599,549,https://http2.mlstatic.com/D_NQ_NP_806325-MLA46792649162_072021-O.jpg
Mario Kart 8 Deluxe Deluxe Edition Nintendo Switch  Físico,Mario,1237,1237,https://http2.mlstatic.com/D_NQ_NP_641090-MLA40865290235_022020-O.jpg
Control joystick inalámbrico Microsoft Xbox Xbox Elite wireless controller series 2 negro,Microsoft,4799,3290,https://http2.mlstatic.com/D_NQ_NP_626126-MLA41861158299_052020-O.jpg
